Datum;Uhrzeit;ug/m
06.01.19;15:00;18,418
06.01.19;16:00;26,631
06.01.19;17:00;30,609
06.01.19;18:00;36,016
06.01.19;19:00;40,33
06.01.19;20:00;36,143
06.01.19;21:00;25,113
06.01.19;22:00;28,318
06.01.19;23:00;21,788
07.01.19;00:00;22,786
07.01.19;01:00;16,413
07.01.19;02:00;
07.01.19;03:00;12,547
07.01.19;04:00;12,83
07.01.19;05:00;11,441
07.01.19;06:00;22,662
07.01.19;07:00;38,442
07.01.19;08:00;47,538
07.01.19;09:00;63,515
07.01.19;10:00;58,171
07.01.19;11:00;49,504
07.01.19;12:00;49,639
07.01.19;13:00;45,474
07.01.19;14:00;41,292
07.01.19;15:00;62,36
07.01.19;16:00;53,733
07.01.19;17:00;48,342
07.01.19;18:00;38,203
07.01.19;19:00;43,525
07.01.19;20:00;28,012
07.01.19;21:00;22,964
07.01.19;22:00;24,134
07.01.19;23:00;18,436
08.01.19;00:00;14,292
08.01.19;01:00;5,678
08.01.19;02:00;5,881
08.01.19;03:00;
08.01.19;04:00;5,554
08.01.19;05:00;4,262
08.01.19;06:00;7,088
08.01.19;07:00;19,273
08.01.19;08:00;18,574
08.01.19;09:00;52,934
08.01.19;10:00;22,985
08.01.19;11:00;14,594
08.01.19;12:00;16,33
08.01.19;13:00;15,443
08.01.19;14:00;20,109
08.01.19;15:00;12,79
08.01.19;16:00;17,171
08.01.19;17:00;19,155
08.01.19;18:00;38,326
08.01.19;19:00;28,151
08.01.19;20:00;11,671
08.01.19;21:00;13,623
08.01.19;22:00;13,268
08.01.19;23:00;11,103
09.01.19;00:00;9,829
09.01.19;01:00;9,116
09.01.19;02:00;6,566
09.01.19;03:00;4,553
09.01.19;04:00;
09.01.19;05:00;4,481
09.01.19;06:00;7,687
09.01.19;07:00;12,782
09.01.19;08:00;20,318
09.01.19;09:00;30,986
09.01.19;10:00;17,171
09.01.19;11:00;15,332
09.01.19;12:00;20,027
09.01.19;13:00;16,394
09.01.19;14:00;28,429
09.01.19;15:00;21,721
09.01.19;16:00;25,225
09.01.19;17:00;37,562
09.01.19;18:00;35,913
09.01.19;19:00;28,363
09.01.19;20:00;25,512
09.01.19;21:00;20,521
09.01.19;22:00;17,872
