Lufthygienisches ‹berwachungssystem Niedersachsen;
Hannover (Verkehrsstation);;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Kohlenmonoxid;;Temperatur;;Luftdruck;;Relative Feuchte;;
Datum;Uhrzeit;µg/m≥;Status;µg/m≥;Status;µg/m≥;Status;mg/m≥;Status;∞C;Status;hPa;Status;%;Status;
30.12.2018;12:00;11,880; ;17,580;;31,390;;0,15767;E;7,94;;1021,8;;83,7;;
30.12.2018;13:00;11,491; ;18,894;;34,929;;0,17105;E;8,11;;1021,7;;84,3;;
30.12.2018;14:00;11,003; ;23,783;;42,007;;0,18884;E;8,31;;1021,9;;83,4;;
30.12.2018;15:00;10,251; ;25,830;;48,884;;0,20712;E;8,24;;1022,3;;83,8;;
30.12.2018;16:00;9,846; ;31,489;;60,326;;0,22468;E;8,22;;1022,1;;83,4;;
30.12.2018;17:00;9,629; ;32,126;;58,282;;0,23763;E;8,15;;1022,6;;83,1;;
30.12.2018;18:00;9,504; ;39,293;;70,922;;0,24897;E;8,10;;1022,9;;83,4;;
30.12.2018;19:00;9,695; ;32,094;;56,541;;0,26869;E;7,89;;1023,2;;84,7;;
30.12.2018;20:00;9,890; ;33,884;;64,678;;0,28393;E;7,74;;1023,7;;86,7;;
30.12.2018;21:00;10,014; ;38,465;;72,486;;0,30094;E;7,55;;1023,5;;88,6;;
30.12.2018;22:00;10,211; ;29,444;;48,658;;0,30560;E;7,28;;1023,3;;90,3;;
30.12.2018;23:00;10,753; ;41,021;;73,813;;0,31530;E;7,03;;1023,3;;91,0;;
31.12.2018;00:00;11,437; ;31,790;;51,532;;0,31856;E;7,08;;1023,4;;91,2;;
31.12.2018;01:00;12,250; ;29,002;;46,309;;0,32054;E;7,17;;1023,3;;92,7;;
31.12.2018;02:00;13,107; ;;*;;*;0,30899;E;7,15;;1023,1;;94,6;;
31.12.2018;03:00;13,907; ;21,800;;28,542;;0,29408;E;7,27;;1023,3;;94,3;;
31.12.2018;04:00;15,012; ;18,873;;23,919;;0,28371;E;7,30;;1023,3;;97,3;;
31.12.2018;05:00;15,780; ;17,901;;32,659;;0,26442;E;7,29;;1023,0;;98,7;;
31.12.2018;06:00;16,283; ;24,407;;50,336;;0,25054;E;7,33;;1023,1;;98,6;;
31.12.2018;07:00;16,600; ;27,472;;58,254;;0,25157;E;7,36;;1023,3;;99,5;;
31.12.2018;08:00;16,647; ;34,852;;73,605;;0,25530;E;7,50;;1023,6;;100,0;;
31.12.2018;09:00;16,708; ;33,770;;77,433;;0,26502;E;7,76;;1024,0;;100,0;;
31.12.2018;10:00;16,888; ;40,140;;95,410;;0,28513;E;8,07;;1024,4;;100,0;;
31.12.2018;11:00;17,013; ;42,945;;108,754;;0,31480;E;8,42;;1024,4;;100,0;;
31.12.2018;12:00;17,144; ;42,583;;100,678;;0,33426;E;8,66;;1024,3;;99,7;;
31.12.2018;13:00;17,240; ;43,433;;103,679;;0,35247;E;8,99;;1023,9;;98,3;;
31.12.2018;14:00;17,258; ;41,275;;94,831;;0,37225;E;8,95;;1023,7;;98,0;;
31.12.2018;15:00;17,327; ;41,211;;90,419;;0,36570;E;9,03;;1023,7;;98,7;;
31.12.2018;16:00;17,434; ;43,564;;90,973;;0,37100;E;9,23;;1023,7;;98,5;;
31.12.2018;17:00;17,567; ;39,741;;82,221;;0,37168;E;9,33;;1023,7;;96,5;;
31.12.2018;18:00;17,825; ;41,741;;90,296;;0,39265;E;9,31;;1023,6;;95,3;;
31.12.2018;19:00;18,215; ;33,563;;62,915;;0,36931;E;9,30;;1023,3;;94,3;;
31.12.2018;20:00;18,790; ;29,824;;58,073;;0,35813;E;9,27;;1023,3;;94,0;;
31.12.2018;21:00;19,274; ;27,724;;57,905;;0,34415;E;9,24;;1023,3;;93,0;;
31.12.2018;22:00;19,606; ;21,243;;37,089;;0,32957;E;9,14;;1023,1;;91,5;;
31.12.2018;23:00;19,644; ;18,854;;31,206;;0,31229;E;8,90;;1022,7;;88,3;;
01.01.2019;00:00;19,875; ;18,143;;28,352;;0,28968;E;8,87;;1022,0;;86,9;;
01.01.2019;01:00;30,338; ;29,926;;73,980;;0,27688;E;8,92;;1021,2;;83,6;;
01.01.2019;02:00;33,759; ;20,126;;33,996;;0,23203;E;8,57;;1020,4;;89,8;;
01.01.2019;03:00;34,906; ;;*;;*;0,22320;E;8,02;;1019,7;;92,6;;
01.01.2019;04:00;35,011; ;12,908;;20,412;;0,20635;E;7,93;;1018,9;;90,6;;
01.01.2019;05:00;35,086; ;11,546;;18,968;;0,19100;E;7,93;;1017,9;;87,2;;
01.01.2019;06:00;35,364; ;9,266;;15,314;;0,17963;E;7,83;;1016,9;;86,1;;
01.01.2019;07:00;36,647; ;7,766;;12,167;;0,17288;E;7,45;;1016,0;;92,0;;
01.01.2019;08:00;38,464; ;8,464;;11,341;;0,16508;E;7,25;;1015,2;;94,4;;
01.01.2019;09:00;39,945; ;8,564;;11,971;;0,14852;E;7,25;;1014,7;;96,1;;
01.01.2019;10:00;40,952; ;9,256;;14,016;;0,14637;E;7,28;;1014,4;;97,8;;
01.01.2019;11:00;41,612; ;8,527;;12,142;;0,13807;E;7,52;;1014,2;;98,0;;
01.01.2019;12:00;41,630; ;10,471;;16,938;;0,13325;E;7,63;;1014,5;;97,0;;
01.01.2019;13:00;41,973; ;11,451;;18,314;;0,13288;E;7,67;;1014,2;;86,7;;
01.01.2019;14:00;42,377; ;13,068;;23,689;;0,12914;E;7,99;;1013,7;;75,0;;
01.01.2019;15:00;42,704; ;14,093;;24,109;;0,13062;E;7,84;;1013,3;;74,4;;
01.01.2019;16:00;42,827; ;11,998;;22,993;;0,12893;E;7,53;;1012,9;;72,5;;
01.01.2019;17:00;42,847; ;12,726;;23,098;;0,12639;E;6,40;;1013,4;;79,0;;
01.01.2019;18:00;42,633; ;12,993;;23,677;;0,12133;E;5,69;;1014,1;;77,4;;
01.01.2019;19:00;42,295; ;12,786;;22,885;;0,12140;E;5,39;;1014,5;;74,7;;
01.01.2019;20:00;41,892; ;15,280;;25,607;;0,12265;E;4,99;;1014,6;;77,4;;
01.01.2019;21:00;41,534; ;10,382;;19,694;;0,12121;E;4,63;;1014,7;;76,6;;
01.01.2019;22:00;41,245; ;8,636;;13,099;;0,11987;E;4,45;;1014,9;;77,3;;
01.01.2019;23:00;41,025; ;10,620;;16,745;;0,11926;E;3,60;;1015,3;;84,1;;
02.01.2019;00:00;40,798; ;7,016;;10,074;;0,11382;E;3,64;;1015,3;;82,5;;
02.01.2019;01:00;30,376; ;7,773;;13,436;;0,11173;E;3,54;;1015,8;;86,5;;
02.01.2019;02:00;26,880; ;5,836;;9,729;;0,10584;E;3,22;;1016,3;;93,0;;
02.01.2019;03:00;25,771; ;7,934;;10,826;;0,10326;E;3,60;;1016,8;;92,3;;
02.01.2019;04:00;25,371; ;;*;;*;0,10530;E;4,03;;1017,6;;88,6;;
02.01.2019;05:00;25,262; ;12,767;;22,609;;0,10915;E;4,33;;1018,4;;82,8;;
02.01.2019;06:00;25,159; ;25,859;;49,615;;0,11837;E;4,23;;1018,9;;81,3;;
02.01.2019;07:00;24,359; ;27,267;;54,125;;0,13752;E;4,15;;1019,2;;82,5;;
02.01.2019;08:00;23,208; ;36,585;;74,816;;0,15899;E;4,24;;1020,0;;81,2;;
02.01.2019;09:00;22,095; ;44,882;;84,194;;0,17187;E;4,02;;1021,2;;77,4;;
02.01.2019;10:00;21,089; ;39,598;;79,536;;0,18796;E;3,83;;1022,2;;70,0;;
02.01.2019;11:00;20,496; ;38,704;;85,679;;0,19347;E;4,19;;1023,2;;62,6;;
02.01.2019;12:00;20,307; ;33,370;;69,080;;0,19949;E;4,41;;1023,9;;54,6;;
02.01.2019;13:00;19,703; ;35,363;;71,951;;0,20709;E;4,56;;1024,2;;51,6;;
02.01.2019;14:00;19,108; ;40,151;;78,577;;0,20977;E;4,58;;1024,5;;49,4;;
02.01.2019;15:00;18,532; ;43,625;;87,246;;0,20130;E;4,43;;1025,1;;45,7;;
02.01.2019;16:00;17,989; ;47,019;;85,095;;0,20213;E;4,13;;1025,6;;45,9;;
02.01.2019;17:00;17,607; ;61,926;;132,811;;0,22516;E;3,64;;1026,3;;49,9;;
02.01.2019;18:00;17,336; ;56,128;;117,895;;0,23921;E;3,03;;1027,0;;53,4;;
02.01.2019;19:00;17,059; ;60,606;;126,633;;0,24963;E;2,42;;1027,6;;57,0;;
02.01.2019;20:00;16,680; ;57,956;;107,278;;0,26020;E;1,85;;1028,1;;60,1;;
02.01.2019;21:00;16,346; ;49,682;;93,269;;0,26901;E;1,37;;1028,5;;63,0;;
02.01.2019;22:00;16,186; ;50,762;;94,751;;0,27720;E;0,97;;1028,5;;65,9;;
02.01.2019;23:00;16,072; ;45,835;;74,484;;0,29376;E;0,40;;1028,5;;68,8;;
03.01.2019;00:00;15,762; ;42,855;;66,819;;0,29834;E;0,07;;1028,3;;73,3;;
03.01.2019;01:00;15,357; ;30,485;;45,651;;0,27759;E;-0,53;;1028,5;;78,7;;
03.01.2019;02:00;15,062; ;23,917;;33,986;;0,26530;E;-0,86;;1028,7;;79,8;;
03.01.2019;03:00;14,647; ;31,354;;52,173;;0,24662;E;-1,24;;1028,7;;81,8;;
03.01.2019;04:00;14,125; ;40,105;;65,303;;0,23446;E;-1,41;;1028,7;;82,3;;
03.01.2019;05:00;13,431; ;;*;;*;0,22087;E;-0,38;;1028,4;;76,6;;
03.01.2019;06:00;12,823; ;66,874;;172,109;;0,23025;E;-0,21;;1028,2;;78,6;;
03.01.2019;07:00;12,302; ;66,003;;187,132;;0,25295;E;0,17;;1028,1;;83,4;;
03.01.2019;08:00;11,966; ;63,727;;210,398;;0,27801;E;0,53;;1028,2;;88,3;;
03.01.2019;09:00;11,928; ;59,554;;155,503;;0,29860;E;0,99;;1028,5;;92,3;;
03.01.2019;10:00;12,199; ;65,135;;202,696;;0,32051;E;1,03;;1028,9;;94,2;;
03.01.2019;11:00;12,170; ;;*;;*;0,34260;E;;*;;*;;*;
03.01.2019;12:00;12,603; ;51,348;;151,000;;0,36749;E;2,78;;1028,9;;89,9;;
03.01.2019;13:00;13,141; ;60,497;;157,734;;0,39320;E;3,43;;1028,6;;88,9;;
03.01.2019;14:00;13,507; ;58,092;;155,679;;0,39751;E;3,68;;1028,5;;87,0;;
03.01.2019;15:00;13,930; ;65,621;;155,201;;0,38310;E;3,95;;1028,6;;84,4;;
03.01.2019;16:00;14,410; ;82,727;;198,908;;0,40175;E;3,86;;1028,8;;84,4;;
03.01.2019;17:00;14,970; ;85,124;;233,235;;0,44664;E;3,37;;1028,8;;87,1;;
03.01.2019;18:00;15,581; ;82,090;;214,983;;0,48260;E;2,91;;1029,5;;89,2;;
03.01.2019;19:00;16,146; ;81,453;;196,367;;0,48992;E;2,56;;1029,7;;89,1;;
03.01.2019;20:00;16,715; ;73,946;;156,260;;0,50313;E;1,82;;1029,5;;89,0;;
03.01.2019;21:00;17,292; ;61,105;;121,395;;0,51444;E;1,24;;1029,8;;89,4;;
03.01.2019;22:00;17,776; ;56,597;;104,783;;0,53236;E;0,87;;1029,8;;89,2;;
03.01.2019;23:00;18,244; ;42,371;;79,859;;0,52540;E;0,65;;1029,9;;90,1;;
04.01.2019;00:00;18,603; ;31,634;;45,912;;0,52504;E;0,64;;1029,4;;89,7;;
04.01.2019;01:00;18,815; ;25,332;;35,568;;0,47249;E;0,71;;1029,2;;90,2;;
04.01.2019;02:00;19,091; ;22,757;;30,880;;0,42582;E;0,74;;1029,1;;92,2;;
04.01.2019;03:00;19,438; ;20,674;;26,347;;0,38814;E;0,67;;1029,1;;92,8;;
04.01.2019;04:00;19,628; ;21,365;;30,976;;0,35946;E;0,75;;1028,8;;93,5;;
04.01.2019;05:00;19,874; ;23,839;;47,935;;0,33260;E;0,94;;1028,5;;94,6;;
04.01.2019;06:00;19,920; ;43,191;;93,333;;0,30583;E;1,76;;1027,8;;93,3;;
04.01.2019;07:00;19,693; ;48,216;;108,856;;0,31371;E;2,35;;1027,2;;91,9;;
04.01.2019;08:00;19,383; ;45,717;;119,860;;0,28243;E;2,33;;1027,0;;91,9;;
04.01.2019;09:00;19,047; ;48,965;;121,246;;0,29803;E;2,46;;1026,7;;92,9;;
04.01.2019;10:00;18,786; ;47,685;;110,000;;0,30454;E;2,75;;1026,3;;95,9;;
04.01.2019;11:00;18,587; ;44,255;;122,656;;0,31201;E;3,01;;1025,8;;98,4;;
04.01.2019;12:00;18,291; ;52,702;;121,016;;0,32891;E;3,49;;1025,0;;97,5;;
04.01.2019;13:00;17,941; ;48,694;;109,629;;0,34993;E;3,64;;1023,9;;97,4;;
04.01.2019;14:00;17,793; ;47,248;;107,767;;0,36371;E;3,70;;1022,7;;97,9;;
04.01.2019;15:00;17,615; ;38,619;;97,390;;0,35862;E;3,88;;1022,5;;98,1;;
04.01.2019;16:00;17,480; ;36,706;;90,473;;0,35849;E;4,11;;1022,1;;98,2;;
04.01.2019;17:00;17,269; ;31,074;;74,376;;0,35311;E;4,25;;1021,8;;98,9;;
04.01.2019;18:00;17,013; ;31,858;;72,868;;0,35148;E;4,45;;1021,3;;99,3;;
04.01.2019;19:00;16,592; ;35,164;;71,417;;0,35368;E;4,67;;1021,2;;99,6;;
04.01.2019;20:00;16,120; ;28,167;;58,779;;0,34562;E;4,90;;1021,1;;100,0;;
04.01.2019;21:00;15,604; ;20,151;;42,774;;0,33488;E;5,20;;1020,9;;100,0;;
04.01.2019;22:00;15,066; ;21,555;;46,202;;0,32423;E;5,44;;1020,6;;100,0;;
04.01.2019;23:00;14,526; ;;*;;*;0,30814;E;5,61;;1020,0;;100,0;;
05.01.2019;00:00;13,930; ;11,717;;22,143;;0,29522;E;5,83;;1019,5;;100,0;;
05.01.2019;01:00;13,443; ;10,420;;17,062;;0,28289;E;6,07;;1018,9;;99,9;;
05.01.2019;02:00;12,859; ;8,186;;11,781;;0,27412;E;6,30;;1018,3;;99,9;;
05.01.2019;03:00;12,145; ;6,341;;10,058;;0,25883;E;6,46;;1017,5;;99,9;;
05.01.2019;04:00;11,451; ;6,603;;10,337;;0,24511;E;6,70;;1016,8;;99,9;;
05.01.2019;05:00;10,711; ;7,996;;13,839;;0,23219;E;6,86;;1015,8;;100,0;;
05.01.2019;06:00;10,076; ;9,219;;20,775;;0,21563;E;7,01;;1015,1;;100,0;;
05.01.2019;07:00;9,486; ;11,220;;21,629;;0,21586;E;7,09;;1015,0;;100,0;;
05.01.2019;08:00;8,904; ;13,842;;23,538;;0,21429;E;7,34;;1015,1;;100,0;;
05.01.2019;09:00;8,428; ;17,206;;26,942;;0,21634;E;7,57;;1015,6;;99,5;;
05.01.2019;10:00;8,008; ;22,639;;40,934;;0,22352;E;7,53;;1016,1;;99,9;;
05.01.2019;11:00;7,614; ;28,968;;52,235;;0,23835;E;7,60;;1016,3;;99,9;;
05.01.2019;12:00;7,334; ;31,559;;65,020;;0,25822;E;7,76;;1016,6;;99,5;;
05.01.2019;13:00;7,094; ;39,388;;71,896;;0,27618;E;7,85;;1016,5;;98,8;;
05.01.2019;14:00;6,809; ;39,797;;77,130;;0,29904;E;7,88;;1016,4;;98,0;;
05.01.2019;15:00;6,549; ;41,509;;77,652;;0,31815;E;7,88;;1016,7;;96,8;;
05.01.2019;16:00;6,387; ;40,108;;73,617;;0,33382;E;7,73;;1017,1;;97,0;;
05.01.2019;17:00;6,328; ;33,680;;64,383;;0,34222;E;7,66;;1017,3;;96,1;;
05.01.2019;18:00;6,381; ;37,623;;72,638;;0,35242;E;7,72;;1017,9;;94,9;;
05.01.2019;19:00;6,711; ;40,762;;73,358;;0,35654;E;7,52;;1018,2;;95,9;;
05.01.2019;20:00;7,112; ;31,583;;56,609;;0,35321;E;7,32;;1018,4;;96,0;;
05.01.2019;21:00;7,279; ;29,930;;50,681;;0,34761;E;7,24;;1018,6;;95,5;;
05.01.2019;22:00;7,250; ;29,396;;47,185;;0,33401;E;6,93;;1018,8;;96,9;;
05.01.2019;23:00;7,283; ;27,804;;47,049;;0,32118;E;6,93;;1019,0;;96,8;;
06.01.2019;00:00;7,366; ;;*;;*;0,31554;E;6,77;;1019,3;;97,3;;
06.01.2019;01:00;7,525; ;21,401;;30,773;;0,30214;E;6,54;;1019,3;;99,1;;
06.01.2019;02:00;7,914; ;18,348;;25,973;;0,28041;E;6,49;;1019,3;;100,0;;
06.01.2019;03:00;8,259; ;17,097;;23,115;;0,25995;E;6,57;;1019,6;;100,0;;
06.01.2019;04:00;8,617; ;13,769;;18,290;;0,24387;E;6,60;;1019,8;;100,0;;
06.01.2019;05:00;8,987; ;16,500;;20,766;;0,22976;E;6,44;;1020,0;;100,0;;
06.01.2019;06:00;9,287; ;13,600;;15,882;;0,21610;E;6,16;;1020,1;;100,0;;
06.01.2019;07:00;9,675; ;12,920;;16,720;;0,20093;E;6,03;;1020,3;;100,0;;
06.01.2019;08:00;10,182; ;16,789;;24,641;;0,18260;E;6,02;;1020,7;;100,0;;
06.01.2019;09:00;10,655; ;20,380;;28,859;;0,18075;E;6,06;;1021,1;;100,0;;
06.01.2019;10:00;10,906; ;32,387;;54,330;;0,18584;E;6,28;;1021,7;;100,0;;
06.01.2019;11:00;11,077; ;40,757;;72,245;;0,20096;E;6,51;;1022,0;;100,0;;
06.01.2019;12:00;11,155; ;34,810;;63,987;;0,21700;E;6,79;;1022,0;;99,9;;
06.01.2019;13:00;11,141; ;40,516;;78,036;;0,24044;E;6,80;;1022,0;;99,6;;
06.01.2019;14:00;11,059; ;34,817;;66,919;;0,26238;E;7,04;;1021,9;;96,2;;
06.01.2019;15:00;10,962; ;48,515;;85,033;;0,28371;E;6,94;;1022,0;;98,2;;
06.01.2019;16:00;10,761; ;46,964;;87,566;;0,30427;E;7,09;;1022,3;;98,1;;
06.01.2019;17:00;10,489; ;47,020;;87,031;;0,32054;E;7,16;;1022,5;;97,2;;
06.01.2019;18:00;10,053; ;39,706;;68,727;;0,33388;E;7,03;;1022,8;;97,3;;
06.01.2019;19:00;9,509; ;41,408;;73,555;;0,32892;E;7,00;;1023,0;;95,0;;
06.01.2019;20:00;9,107; ;33,043;;60,637;;0,32208;E;6,70;;1023,4;;98,2;;
06.01.2019;21:00;8,982; ;28,908;;55,087;;0,31363;E;6,49;;1023,4;;99,8;;
06.01.2019;22:00;9,023; ;21,851;;36,669;;0,29820;E;6,29;;1023,5;;99,3;;
06.01.2019;23:00;9,111; ;17,114;;27,649;;0,28708;E;6,19;;1023,6;;98,6;;
07.01.2019;00:00;9,218; ;12,565;;11,679;;0,27209;E;6,16;;1023,5;;98,5;;
07.01.2019;01:00;9,358; ;;*;;*;0,25712;E;6,18;;1023,6;;98,2;;
07.01.2019;02:00;9,314; ;12,783;;9,907;;0,23933;E;6,17;;1023,8;;98,1;;
07.01.2019;03:00;9,522; ;9,626;;16,062;;0,23249;E;6,13;;1024,0;;98,6;;
07.01.2019;04:00;9,809; ;13,202;;11,685;;0,22446;E;6,11;;1023,9;;98,7;;
07.01.2019;05:00;10,095; ;16,815;;19,646;;0,21293;E;6,10;;1023,6;;97,3;;
07.01.2019;06:00;10,394; ;43,760;;65,554;;0,22400;E;6,14;;1023,3;;95,6;;
07.01.2019;07:00;10,630; ;50,094;;88,464;;0,25369;E;6,12;;1023,0;;93,9;;
07.01.2019;08:00;10,638; ;58,712;;101,747;;0,28762;E;5,93;;1023,0;;92,0;;
07.01.2019;09:00;10,641; ;58,416;;100,570;;0,30904;E;5,72;;1023,0;;91,0;;
07.01.2019;10:00;10,847; ;52,930;;84,629;;0,32814;E;5,74;;1022,9;;90,8;;
07.01.2019;11:00;11,406; ;48,779;;96,531;;0,34958;E;5,93;;1022,8;;91,4;;
07.01.2019;12:00;11,986; ;56,782;;100,507;;0,36846;E;6,13;;1022,2;;93,9;;
07.01.2019;13:00;12,482; ;55,477;;90,972;;0,38481;E;6,33;;1021,3;;92,4;;
07.01.2019;14:00;12,963; ;63,784;;117,878;;0,39927;E;6,57;;1020,4;;91,4;;
07.01.2019;15:00;13,460; ;66,480;;125,554;;0,39532;E;6,71;;1019,6;;91,4;;
07.01.2019;16:00;13,840; ;68,552;;122,727;;0,39990;E;6,55;;1018,9;;94,6;;
07.01.2019;17:00;14,014; ;69,922;;119,732;;0,41952;E;6,54;;1017,9;;95,3;;
07.01.2019;18:00;14,152; ;59,716;;87,158;;0,43908;E;6,59;;1016,5;;94,2;;
07.01.2019;19:00;14,342; ;48,250;;64,519;;0,44251;E;6,66;;1015,2;;92,8;;
07.01.2019;20:00;14,519; ;44,387;;53,231;;0,43777;E;6,76;;1013,8;;94,1;;
07.01.2019;21:00;14,783; ;41,329;;44,857;;0,43498;E;6,82;;1012,3;;95,7;;
07.01.2019;22:00;14,782; ;41,245;;44,228;;0,43205;E;6,94;;1010,7;;96,2;;
07.01.2019;23:00;14,577; ;34,225;;32,549;;0,41537;E;7,45;;1009,0;;93,2;;
08.01.2019;00:00;14,293; ;25,351;;21,229;;0,38110;E;7,50;;1007,4;;95,9;;
08.01.2019;01:00;13,866; ;17,647;;21,250;;0,35058;E;7,70;;1006,2;;96,8;;
08.01.2019;02:00;13,437; ;;*;;*;0,31942;E;7,54;;1005,5;;94,1;;
08.01.2019;03:00;13,000; ;9,555;;8,827;;0,29222;E;7,03;;1004,9;;92,2;;
08.01.2019;04:00;12,655; ;9,864;;9,393;;0,27931;E;6,99;;1003,9;;90,7;;
