Lufthygienisches ‹berwachungssystem Niedersachsen;
Hannover;;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Ozon;;Temperatur;;Luftdruck;;Windrichtung;;Windgeschwindigkeit;;Relative Feuchte;;Regendauer;;Globalstrahlung;;
Datum;Uhrzeit;µg/m≥;Status;µg/m≥;Status;µg/m≥;Status;µg/m≥;Status;∞C;Status;hPa;Status;Grad;Status;m/s;Status;%;Status;min;Status;W/m≤;Status;
30.12.2018;12:00;8,195; ;5,552;;6,025;;69,290;;7,45;;1017,8;;276,2;;1,29;;85,3;;0;;67,0;;
30.12.2018;13:00;7,915; ;5,781;;6,281;;68,513;;7,56;;1017,8;;277,1;;1,41;;86,1;;0;;67,1;;
30.12.2018;14:00;7,609; ;6,222;;6,764;;66,975;;7,71;;1018,0;;275,0;;1,24;;85,5;;0;;46,8;;
30.12.2018;15:00;7,105; ;6,943;;7,412;;65,938;;7,57;;1018,3;;282,0;;1,28;;86,0;;0;;26,4;;
30.12.2018;16:00;6,822; ;6,482;;6,902;;65,958;;7,46;;1018,2;;267,4;;1,17;;86,1;;0;;14,2;;
30.12.2018;17:00;6,746; ;6,254;;6,587;;65,560;;7,36;;1018,7;;271,7;;1,29;;85,8;;0;;0,7;;
30.12.2018;18:00;6,728; ;6,951;;7,381;;62,801;;7,27;;1018,9;;265,6;;0,93;;86,3;;0;;0,0;;
30.12.2018;19:00;6,926; ;6,878;;7,248;;61,357;;7,06;;1019,3;;273,3;;0,74;;87,8;;0;;0,0;;
30.12.2018;20:00;7,189; ;7,544;;8,105;;57,503;;6,89;;1019,7;;261,6;;0,78;;89,8;;0;;0,0;;
30.12.2018;21:00;7,504; ;8,171;;8,630;;53,310;;6,67;;1019,5;;258,4;;0,87;;91,7;;0;;0,0;;
30.12.2018;22:00;7,811; ;8,338;;8,776;;52,154;;6,39;;1019,4;;258,1;;0,91;;93,4;;0;;0,0;;
30.12.2018;23:00;8,277; ;10,560;;11,031;;;*;6,04;;1019,3;;250,3;;0,57;;94,5;;0;;0,0;;
31.12.2018;00:00;8,857; ;11,877;;12,394;;;*;6,23;;1019,4;;257,2;;0,31;;94,4;;0;;0,0;;
31.12.2018;01:00;9,578; ;11,716;;12,215;;;*;6,37;;1019,4;;248,6;;0,49;;95,5;;0;;0,0;;
31.12.2018;02:00;10,311; ;10,905;;11,472;;40,386;;6,41;;1019,2;;235,7;;0,34;;96,7;;0;;0,0;;
31.12.2018;03:00;11,016; ;;*;;*;33,475;;6,54;;1019,3;;248,6;;0,48;;97,0;;0;;0,0;;
31.12.2018;04:00;12,117; ;14,660;;15,331;;20,701;;6,64;;1019,4;;256,7;;0,60;;99,0;;0;;0,0;;
31.12.2018;05:00;12,925; ;14,619;;15,329;;18,210;;6,66;;1019,0;;258,9;;0,66;;100,0;;0;;0,0;;
31.12.2018;06:00;13,422; ;12,851;;13,478;;22,979;;6,67;;1019,2;;267,3;;0,63;;100,0;;0;;0,0;;
31.12.2018;07:00;13,686; ;13,379;;14,040;;19,825;;6,72;;1019,4;;265,5;;0,48;;100,0;;7;;0,0;;
31.12.2018;08:00;13,684; ;16,713;;19,899;;14,462;;6,88;;1019,7;;250,2;;0,55;;100,0;;0;;0,0;;
31.12.2018;09:00;13,666; ;13,455;;14,353;;21,900;;7,13;;1020,1;;257,2;;0,70;;100,0;;3;;1,2;;
