Datum;Uhrzeit;Braunschweig_VS;Goettingen_VS;Hannover_VS;Osnabrueck_VS;Oldenburg_VS;Hannover;Jadebusen;Osnabrueck;Ostfriesische_Inseln;Ostfriesland
11.04.23;18:00;34,277;15,472;36,179;31,211;37,993;5,454;3,733;5,708;2,698;6,89
11.04.23;19:00;46,52;11,084;42,085;30,323;34,174;6,868;3,724;5,596;2,886;6,57
11.04.23;20:00;47,807;24,195;56,838;49,137;48,482;10,143;6,044;6,496;2,99;11,042
11.04.23;21:00;37,127;33,478;85,468;72,548;63,135;23,901;10,2;15,272;2,755;15,483
11.04.23;22:00;29,579;33,194;51,12;74,17;64,757;38,961;12,626;16,986;4,765;9,612
11.04.23;23:00;;21,275;49,218;59,652;45,149;22,228;17,657;11,527;4,903;10,209
12.04.23;00:00;19,505;18,786;33,204;34,346;36,911;23,215;8,371;9,715;6,833;11,71
12.04.23;01:00;11,635;;25,335;23,454;24,212;;9,767;12,201;3,813;
12.04.23;02:00;10,603;12,176;31,497;15,671;16,183;27,062;14,948;11,617;4,227;6,306
12.04.23;03:00;8,65;18,888;28,096;12,405;16,34;21,496;12,526;8,907;;6,493
12.04.23;04:00;10,663;30,076;25,123;11,979;17,38;20,553;13,208;8,875;5,431;7,291
12.04.23;05:00;15,572;22,971;29,989;19,091;24,969;20,929;;;6,997;13,313
12.04.23;06:00;21,534;33,059;32,802;28,916;31,663;19,029;13,984;8,832;7,862;11,845
12.04.23;07:00;31,364;40,019;40,208;42,37;42,214;22,079;13,913;9,408;7,998;14,819
12.04.23;08:00;27,17;23,86;30,051;39,011;42,358;15,014;12,409;9,641;7,361;12,002
12.04.23;09:00;22,849;32,715;23,161;38,414;38,268;10,506;14,276;8,26;6,354;11,85
12.04.23;10:00;23,555;22,665;18,482;33,597;38,45;9,791;11,1;7,048;5,956;12,478
12.04.23;11:00;18,989;25,622;22,211;42,57;32,784;11,356;9,499;7,572;5,824;
12.04.23;12:00;27,004;27,848;24,867;48,304;37,115;11,246;8,962;10,498;5,858;
12.04.23;13:00;26,651;27,532;23,962;45,857;35,209;10,244;9,245;11,227;5,636;
12.04.23;14:00;25,908;31,82;29,207;49,987;35,649;10,718;10,088;10,273;5,172;8,97
12.04.23;15:00;28,32;30,033;32,081;54,566;33,217;9,701;8,756;10,787;4,974;8,087
12.04.23;16:00;28,225;36,036;26,176;41,945;36,833;10,375;8,776;8,124;4,476;11,077
12.04.23;17:00;27,584;43,773;30,32;31,853;39,905;11,124;7,273;7,333;4,317;8,471
12.04.23;18:00;21,523;33,192;38,495;47,461;39,481;10,968;5,312;9,173;5,539;6,206
12.04.23;19:00;23,22;30,789;31,697;46,365;43,742;13,815;7,17;10,1;6,345;8,491
12.04.23;20:00;25,917;37,794;22,398;54,775;46,819;9,912;10,639;11,547;5,058;8,153
12.04.23;21:00;25,587;23,041;31,078;59,661;37,996;5,967;10,366;9,395;5,373;8,682
12.04.23;22:00;18,335;24,85;39,199;47,712;32,401;9,186;9,403;7,487;6,363;11,708
12.04.23;23:00;19,863;28,679;;;;14,437;7,574;7,073;6,86;8,303
13.04.23;00:00;;13,689;13,99;17,487;22,451;11,611;9,144;11,029;7,037;6,419
13.04.23;01:00;19,442;9,306;11,443;15,814;22,531;9,867;9,235;10,854;5,668;5,758
13.04.23;02:00;14,56;;14,95;14,29;18,455;;7,559;10,452;6,122;
13.04.23;03:00;17,531;6,194;17,291;11,464;19,715;8,613;9,033;7,836;5,494;7,37
13.04.23;04:00;22,808;5,719;9,273;8,566;18,408;7,041;8,331;6,478;;6,884
13.04.23;05:00;25,634;7,877;20,871;12,653;23,391;9,608;7,69;6,727;4,945;6,626
13.04.23;06:00;26,121;19,41;37,488;23,614;29,95;15,372;8,22;6,254;4,639;6,225
13.04.23;07:00;40,31;34,184;37,728;36,901;46,891;16,311;7,508;7,436;4,576;9,391
13.04.23;08:00;31,752;25,494;27,5;35,619;38,185;8,408;8,368;9,09;3,959;9,212
13.04.23;09:00;23,325;25,228;19,287;34,985;40,548;6,463;5,684;8,957;4,262;12,022
13.04.23;10:00;21,539;28,669;17,699;28,017;31,403;5,953;4,572;8,201;4,477;11,006
13.04.23;11:00;21,079;11,371;20,617;36,627;36,165;6,261;4,725;10,068;4,761;8,992
13.04.23;12:00;17,595;11,77;21,99;34,005;27,173;5,106;;9,746;5,587;8,033
13.04.23;13:00;23,671;14,72;34,002;31,615;31,6;4,588;;7,595;3,978;15,521
13.04.23;14:00;26,432;15,933;41,963;26,887;28,38;4,462;3,965;6,143;3,18;8,632
13.04.23;15:00;32,249;19,057;38,264;34,794;35,05;5,939;3,42;6,884;3,399;6
13.04.23;16:00;33,342;29,136;40,424;45,943;40,64;5,499;3,642;7,728;3,437;8,21
13.04.23;17:00;27,437;23,962;47,203;38,632;41,442;8,718;3,297;7,068;4,859;7,691
13.04.23;18:00;24,501;20,801;46,077;32,208;38,266;9,208;3,505;5,673;3,433;5,859
13.04.23;19:00;33,421;34,617;37,766;45,81;33,094;9,571;3,675;7,316;2,586;6,657
13.04.23;20:00;43,038;36,659;51,032;57,006;54,819;25,951;3,692;8,624;4,797;8,423
13.04.23;21:00;32,689;32,733;80,156;82,087;68,786;36,397;12,08;14,067;4,85;10,015
13.04.23;22:00;29,496;25,342;60,566;78,887;71,138;36,797;12,319;13,988;5,702;17,387
13.04.23;23:00;27,343;31,866;47,534;66,063;61,279;32,054;;;5,806;20,104
14.04.23;00:00;26,463;21,388;;;;47,27;11,755;23,887;5,752;11,435
14.04.23;01:00;;20,959;64,569;47,559;39,855;42,408;9,623;37,532;6,618;13,814
14.04.23;02:00;27,906;16,21;53,322;36,485;27,701;47,752;13,916;38,255;7,82;15,334
14.04.23;03:00;28,318;;41,881;45,218;26,471;;15,481;36,761;7,502;
14.04.23;04:00;27,705;17,498;43,423;48,932;32,801;34,574;22,011;41,497;6,302;16,039
14.04.23;05:00;46,341;23,119;43,4;46,802;43,751;36,224;19,392;31,668;;26,332
14.04.23;06:00;55,916;41,106;56,226;48,968;51,481;42,263;28,25;41,424;7,546;29,04
14.04.23;07:00;57,374;56,563;57,635;53,808;55,755;46,057;28,088;39;8,755;31,617
14.04.23;08:00;87,72;48,67;58,875;48,932;57,983;49,525;21,594;38,655;8,545;37,213
14.04.23;09:00;49,361;37,805;66,034;46,206;46,42;44,439;16,565;33,979;8,875;23,389
14.04.23;10:00;41,893;26,027;30,497;35,59;48,686;19,671;9,947;23,769;5,604;12,676
14.04.23;11:00;38,377;23,1;17,882;25,183;47,751;9,977;10,744;11,08;6,218;6,2
14.04.23;12:00;22,687;23,179;15,237;20,586;43,666;7,099;6,068;8,547;6,296;7,71
14.04.23;13:00;15,65;26,958;14,535;36,061;43,957;7,663;4,329;6,845;4,092;6,225
14.04.23;14:00;13,901;22,968;13,346;22,815;32,708;7,695;5,437;5,39;4,145;4,689
14.04.23;15:00;11,634;20,335;13,792;17,817;41,035;10,195;4,457;6,006;4,236;4,772
14.04.23;16:00;13,985;20,409;18,229;15,429;41,013;12,938;7,043;5,383;11,679;4,329
14.04.23;17:00;10,193;23,315;18,38;16,664;34,428;12,501;8,519;4,734;15,062;4,117
14.04.23;18:00;11,72;29,783;25,961;17,533;28,93;11,632;10,382;6,228;13,824;6,617
14.04.23;19:00;17,315;23,571;16,89;18,114;38,778;9,9;19,507;7,708;8,675;7,037
14.04.23;20:00;17,17;27,323;17,069;24,257;42,206;11,99;24,743;11,126;7,799;7,524
14.04.23;21:00;22,876;28,735;25,993;29,277;34,161;18,264;19,946;12,818;10,749;11,958
14.04.23;22:00;22,845;29,643;25,631;29,727;39,321;20,829;13,987;15,633;10,344;15,441
14.04.23;23:00;16,223;30,919;19,317;20,611;45,734;13,101;11,523;12,464;8,509;15,218
15.04.23;00:00;12,586;32,855;18,138;17,985;32,788;14,064;;;10,977;12,619
15.04.23;01:00;15,024;26,262;;;;15,632;9,877;10,407;8,509;11,284
15.04.23;02:00;;25,645;16,822;17,011;26,836;16,435;8,585;10,988;4,636;10,241
15.04.23;03:00;10,527;32,639;11,696;16,48;24,199;10,227;6,825;14,2;4,884;11,508
15.04.23;04:00;9,133;;12,252;30,12;23,068;;7,049;19,993;12,166;
15.04.23;05:00;13,192;18,326;19,139;39,294;22,093;9,698;4,93;32,257;9,41;14,229
15.04.23;06:00;14,64;18,335;24,236;41,042;19,097;10,942;3,711;39,056;4,717;15,74
15.04.23;07:00;14,974;14,24;21,679;33,456;18,675;9,676;4,335;27,972;4,027;8,868
15.04.23;08:00;21,917;15,771;23,364;40,087;18,083;10,688;11,035;18,802;2,89;4,844
15.04.23;09:00;34,676;24,62;26,294;26,298;17,803;9,707;10,435;11,695;3,014;5,639
15.04.23;10:00;32,095;30,366;32,397;27,118;16,977;14,084;5,453;11,442;5,218;5,275
15.04.23;11:00;25,618;22,582;30,399;29,841;18,721;14,937;4,351;11,509;4,688;7,373
15.04.23;12:00;25,117;26,215;29,777;30,825;16,738;16,058;4,602;11,442;2,956;8,74
15.04.23;13:00;16,888;26,326;28,707;35,801;17,324;14,717;7,358;10,531;3,58;5,613
15.04.23;14:00;21,618;26,667;24,972;43,315;17,747;17,204;6,272;10,368;4,151;6,323
15.04.23;15:00;29,264;21,414;27,127;38,188;19,541;17,356;5,691;10,68;5,715;7,203
15.04.23;16:00;38,823;26,535;21,41;26,336;19,659;12,147;5,993;9,979;6,421;7,906
15.04.23;17:00;28,274;31,224;23,88;31,428;19,325;11,723;6,799;11,388;6,765;9,016
15.04.23;18:00;21,13;27,876;26,163;33,605;19,468;12,329;9,236;11,997;6,768;10,8
15.04.23;19:00;27,798;41,165;24,655;28,844;19,681;16,197;6,946;10,714;7,156;10,002
15.04.23;20:00;26,748;49,298;31,915;23,545;20,427;15,088;19,648;9,493;7,253;8,155
15.04.23;21:00;25,23;23,463;27,68;22,002;23,684;14,1;16,929;10,305;9,23;8,157
15.04.23;22:00;23,606;26,963;23,142;24,838;29,399;13,275;13,062;9,704;13,45;8,551
15.04.23;23:00;12,572;30,372;17,51;23,623;37,971;10,355;10,728;9,258;;13,476
16.04.23;00:00;9,891;21,767;16,855;22,052;31,947;10,447;7,374;8,18;15,644;13,511
16.04.23;01:00;9,991;13,334;14,545;17,817;25,08;11,603;;;13,111;15,119
16.04.23;02:00;7,736;8,635;;;;9,434;7,937;14,353;13,962;18,871
16.04.23;03:00;;7,821;10,538;17,864;27,513;9,082;8,888;16,92;13,867;15,536
16.04.23;04:00;7,926;7,123;9;15,904;24,733;7,843;8,183;16,488;14,005;10,41
16.04.23;05:00;9,134;;9,539;14,591;29,442;;10,477;9,729;20,599;
16.04.23;06:00;10,546;10,876;11,36;13,712;22,201;7,357;11,696;10,639;20,877;16,593
16.04.23;07:00;10,556;9,18;9,039;14,518;18,946;6,922;6,401;10,24;8,914;15,104
16.04.23;08:00;12,178;13,568;10,298;17,444;18,491;7,491;11,584;10,806;9,621;15,245
16.04.23;09:00;17,166;16,787;15,443;18,635;17,257;9,755;9,425;10,019;13,05;14,702
16.04.23;10:00;22,378;28,039;15,938;15,483;17,986;11,15;10,219;9,442;10,628;8,814
16.04.23;11:00;21,163;23,887;17,526;18,835;14,601;11,929;6,564;9,354;6,97;5,734
16.04.23;12:00;20,216;23,149;20,516;16,146;11,906;14,546;6,467;8,755;8,858;5,69
16.04.23;13:00;23,984;28,44;26,099;20,431;16,53;15,026;6,54;6,957;9,781;6,584
16.04.23;14:00;24,347;22,334;30,911;19,496;16,962;12,771;6,525;7,176;9,25;6,909
16.04.23;15:00;27,274;22,031;26,412;19,357;15,972;10,692;7,679;7,095;6,536;6,989
16.04.23;16:00;19,379;25,067;23,042;21,201;14,137;10,266;11,706;7,155;5,867;6,272
16.04.23;17:00;25,506;24,528;19,215;21,627;16,561;11,635;8,577;7,34;5,639;5,624
16.04.23;18:00;18,97;36,843;16,068;26,928;18,259;10,353;9,907;7,758;10,166;5,408
16.04.23;19:00;15,34;31,803;19,074;33,833;23,601;12,672;11,392;11,59;5,161;7,69
16.04.23;20:00;17,865;42,824;17,571;43,625;20,123;14,118;19,676;13,921;11,644;15,455
16.04.23;21:00;17,096;44,953;20,715;22,301;21,436;13,18;22,078;18,777;15,267;10,063
16.04.23;22:00;15,191;36,933;17,758;15,745;23,896;12,225;16,64;14,12;10,299;10,905
16.04.23;23:00;11,382;24,468;15,229;12,671;24,949;10,378;16,107;11,666;10,213;13,019
17.04.23;00:00;10,028;18,813;11,636;12,866;15,485;9,248;22,642;10,379;;12,541
17.04.23;01:00;7,991;11,922;10,672;12,233;14,851;9,528;12,438;9,407;11,67;10,886
17.04.23;02:00;8,19;12,477;9,188;12,875;20,724;9,765;;;17,132;11,551
17.04.23;03:00;8,63;12,252;;;;12,833;26,504;9,201;9,178;12,707
17.04.23;04:00;;13,247;11,347;13,613;21,344;12,207;19,295;10,288;12,677;14,375
17.04.23;05:00;14,527;16,28;19,565;26,707;26,415;15,463;15,929;12,916;14,458;16,052
17.04.23;06:00;23,63;33,366;34,749;31,278;38,297;19,158;17,924;16,747;16,01;20,102
17.04.23;07:00;28,902;52,161;47,353;38,484;44,09;25,773;18,422;18,981;7,823;23,447
17.04.23;08:00;22,344;40,17;40,451;26,303;48,232;25,769;14,295;16,727;22,845;21,231
17.04.23;09:00;17,693;29,199;29,882;22,868;37,137;20,515;11,091;12,094;9,618;15,725
17.04.23;10:00;21,809;24,537;;19,911;35,524;15,361;15,472;9,883;14,941;11,257
17.04.23;11:00;18,222;30,277;;19,323;25,058;12,644;8,233;6,441;13,888;7,882
17.04.23;12:00;14,611;20,346;;19,034;21,511;10,814;12,326;5,845;9,001;6,57
17.04.23;13:00;12,163;23,204;19,371;16,534;18,319;10,34;11,862;6,088;9,94;5,459
17.04.23;14:00;16,414;24,572;21,506;13,035;17,186;11,932;14,094;5,982;11,439;5,24
17.04.23;15:00;17,406;30,64;14,708;13,202;25,712;9,197;9,39;6,036;7,599;4,565
17.04.23;16:00;17,164;34,226;14,597;15,358;22,514;8,85;9,828;6,797;6,858;4,617
17.04.23;17:00;15,357;37,228;13,832;11,359;21,503;10,089;8,087;6,051;10,078;5,583
17.04.23;18:00;10,756;24,852;14,958;16,5;19,69;10,336;6,409;8,569;16,866;6,888
17.04.23;19:00;8,403;25,675;13,375;13,514;27,571;11,043;7,172;8,172;8,611;7,504
17.04.23;20:00;8,72;16,981;9,118;13,574;24,03;8,508;8,594;9,258;6,32;7,276
17.04.23;21:00;8,246;19,239;8,789;14,637;21,1;7,884;8,138;11,132;10,101;9,002
17.04.23;22:00;11,341;26,598;8,733;12,068;18,787;6,962;9,845;11,305;11,165;9,05
17.04.23;23:00;7,053;;6,575;11,862;13,161;;8,535;9,014;12,584;
18.04.23;00:00;6,655;16,66;6,392;8,762;11,981;6,025;6,979;6,51;7,903;7,573
18.04.23;01:00;6,981;13,168;5,117;8,238;10,912;5,56;6,23;7,422;;7,025
18.04.23;02:00;6,622;25,57;5,199;6,794;10,529;5,911;7,372;7,019;6,746;6,539
18.04.23;03:00;6,804;22,778;5,85;6,573;10,182;5,523;;;7,956;5,876
18.04.23;04:00;7,919;26,145;;;;6,01;8,561;6,134;9,554;6,579
18.04.23;05:00;;36,307;10,414;8,802;13,973;8,965;8,439;6,983;6,692;6,715
18.04.23;06:00;13,153;39,825;13,017;15,016;22,439;13,829;8,414;8,566;7,997;9,494
18.04.23;07:00;16,774;46,784;16,825;22,611;37,926;18,003;8,434;10,64;7,325;11,216
18.04.23;08:00;16,524;32,742;18,084;19,011;37,047;15,388;9,335;10,081;6,24;11,117
18.04.23;09:00;11,907;27,048;14,235;18,129;33,216;15,107;7,071;9,223;5,978;8,397
18.04.23;10:00;9,374;22,213;12,381;14,488;26,301;11,834;8,143;8,18;6,677;7,77
18.04.23;11:00;9,203;14,54;11,102;;25,152;9,609;5,96;7,931;8,442;6,14
18.04.23;12:00;11,396;15,328;9,008;;22,884;8,682;6,285;;7,775;5,147
18.04.23;13:00;12,662;25,135;13,39;12,025;23,703;8,33;7,357;;10,985;5,016
18.04.23;14:00;11,594;18,209;10,62;14,654;23,334;7,722;7,555;5,441;7,781;5,735
18.04.23;15:00;11,164;26,833;12,404;18,698;27,105;7,903;5,341;5,09;7,259;7,378
18.04.23;16:00;14,87;29,892;11,069;18,407;26,165;7,503;7,503;5,664;10,441;7,08
18.04.23;17:00;13,709;21,726;13,677;16,985;29,448;8,722;7,39;5,046;11,629;6,927
18.04.23;18:00;11,447;18,199;12,377;13,824;25,302;9,681;5,461;5,79;8,455;6,375
18.04.23;19:00;13,983;16,102;13,054;12,066;20,423;9,505;4,899;6,25;13,563;7,279
18.04.23;20:00;12,234;18,765;13,913;15,443;29,207;11,378;8,476;7,879;24,632;7,042
18.04.23;21:00;7,846;22,381;14,016;19,905;29,046;11,876;7,916;11,369;6,795;7,164
18.04.23;22:00;7,556;19,686;9,831;14,149;30,04;7,786;11,133;9,444;5,937;6,5
18.04.23;23:00;7,477;38,034;8,21;10,236;24,798;6,507;6,931;7,306;4,82;6,998
19.04.23;00:00;5,111;;6,066;10,011;14,726;;12,339;6,935;10,818;
19.04.23;01:00;6,142;14,479;6,035;7,079;12,473;5,678;9,232;6,083;8,881;7,68
19.04.23;02:00;6,215;29,476;5,223;7,299;15,634;4,817;9,634;6,953;;7,497
19.04.23;03:00;7,987;30,978;4,746;7,196;14,329;4,763;11,498;6,574;6,825;6,985
19.04.23;04:00;12,5;11,441;7,925;8,731;17,152;7,13;;;9,725;7,29
19.04.23;05:00;19,505;11,901;;;;10,641;10,839;7,747;7,014;8,4
19.04.23;06:00;19,124;36,166;26,332;19,205;31,088;18,079;6,467;11,554;5,751;10,37
19.04.23;07:00;24,109;56,01;24,74;22,84;50,772;19,36;7,003;12,921;5,049;13,961
19.04.23;08:00;20,079;41,847;27,391;17,473;41,37;16,443;11,131;9,984;4,822;10,016
19.04.23;09:00;14,785;27,386;17,643;15,192;39,717;10,323;9,26;7,544;7,694;7,261
19.04.23;10:00;11,814;20,841;10,946;13,07;24,987;;7,05;6,297;6,76;5,271
19.04.23;11:00;12,154;19,356;8,344;12,846;22,049;;7,238;5,901;5,678;3,907
19.04.23;12:00;9,802;16,969;10,548;10,979;18,22;6,97;4,925;5,194;6,898;3,956
19.04.23;13:00;9,368;19,067;11,033;12,275;21,584;6,144;4,761;5,373;5,599;4,119
19.04.23;14:00;9,248;15,712;9,942;11,537;16,775;5,988;4,893;4,614;4,584;4,158
19.04.23;15:00;10,057;15,184;11,742;12,806;14,574;7,523;4,07;4,738;3,495;4,054
19.04.23;16:00;12,201;20,263;11,049;11,38;21,023;7,563;2,897;4,36;3,571;4,07
19.04.23;17:00;9,93;17,977;15,565;11,048;18,566;8,026;5,522;5,136;4,16;3,811
19.04.23;18:00;10,038;16,754;12,96;8,791;23,625;8,409;4,152;5,654;4,167;4,054
19.04.23;19:00;9,517;37,647;13,178;11,657;23,263;7,799;4,34;5,905;6,337;5,264
19.04.23;20:00;9,293;30,917;12,732;10,356;23,089;7,874;7,537;7,46;6,47;6,44
19.04.23;21:00;7,688;18,514;10,522;10,529;21,758;5,883;12,958;7,604;6,419;7,761
19.04.23;22:00;9,022;25,812;7,044;10,297;29,394;5,638;11,056;7,549;7,705;8,361
19.04.23;23:00;;26,605;6,417;11,223;23,781;4,729;7,771;7,396;12,734;7,333
20.04.23;00:00;6,888;11,689;4,645;10,253;14,234;3,863;10,396;5,977;3,397;8,427
20.04.23;01:00;6,571;;3,702;8,48;9,648;;8,17;6,149;4,826;
20.04.23;02:00;6,424;31,064;3,819;5,247;9,026;3,674;9,049;5,328;6,243;6,944
20.04.23;03:00;6,434;21,229;3,911;4,164;12,019;3,602;6,1;4,206;;9,575
20.04.23;04:00;6,333;23,933;4,952;5,097;11,878;4,092;5,049;4,662;5,867;6,082
20.04.23;05:00;7,395;33,417;7,586;9,286;13,591;7,109;;;4,51;5,105
20.04.23;06:00;10,956;18,135;11,721;17,709;23,775;11,355;4,784;9,171;3,195;5,443
20.04.23;07:00;17,538;34,487;14,236;19,632;40,944;13,836;6,841;9,377;2,64;5,479
20.04.23;08:00;16,839;38,663;15,526;21,201;35,456;13,822;6,711;10,006;3,758;7,198
20.04.23;09:00;12,193;32,235;17,19;18,401;45,697;14,731;6,582;9,206;3,822;8,61
20.04.23;10:00;11,911;29,011;14,13;15,598;36,442;10,774;6,513;8,43;5,186;8,93
20.04.23;11:00;11,089;21,677;11,603;13,882;33,47;8,777;10,037;6,337;6,15;7,741
20.04.23;12:00;9,317;18,775;14,213;15,776;36,079;10,056;7,963;7,232;5,57;8,652
20.04.23;13:00;11,449;19,212;13,277;16,833;26,357;9,693;5,335;6,668;5,22;8,285
20.04.23;14:00;12,181;18,293;13,781;15,521;22,207;8,575;5,042;7,806;7,658;7,835
20.04.23;15:00;14,201;26,316;14,834;14,55;22,623;8,943;6,896;6,674;4,908;6,229
20.04.23;16:00;14,551;22,642;13,242;20,002;21,882;12,004;7,165;6,477;6,528;6,539
20.04.23;17:00;21,113;17,465;14,365;18,469;23,39;10,834;6,143;7,215;7,745;7,914
20.04.23;18:00;18,434;21,287;17,166;18,764;32,748;12,951;5,423;8,074;6,54;8,196
20.04.23;19:00;16,645;14,639;15,526;14,193;32,548;12,697;9,28;7,195;14,958;10,071
20.04.23;20:00;25,056;17,95;14,573;11,685;39,175;11,295;17,406;6,891;18,949;10,369
20.04.23;21:00;37,953;28,314;18,837;12,773;32,954;13,759;31,201;7,543;13,152;12,767
20.04.23;22:00;36,94;25,896;19,523;12,027;27,368;15,05;10,909;7,702;7,814;11,575
20.04.23;23:00;27,684;26,782;;;;14,58;13,417;8,069;11,595;11,658
21.04.23;00:00;;30,025;11,968;10,177;25,942;11,461;11,086;7,841;8,686;8,927
21.04.23;01:00;10,294;7,148;12,135;7,617;20,237;9,244;11,504;7,202;10,407;8,437
21.04.23;02:00;10,098;;15,065;7,962;15,453;;7,342;6,186;9,453;
21.04.23;03:00;9,938;6,837;10,736;7,991;13,55;8,093;7,464;6,688;12,181;8,05
21.04.23;04:00;8,975;9,395;12,76;9,345;12,415;11,07;11,939;7,761;;6,831
21.04.23;05:00;10,686;25,609;14,862;13,497;13,42;13,155;8,849;10,045;9,052;7,06
21.04.23;06:00;22,687;39,352;18,427;19,595;24,605;15,473;13,503;13,046;6,881;10,187
21.04.23;07:00;26,615;44,486;19,592;23,072;30,758;20,7;9,64;14,963;6,321;11,638
21.04.23;08:00;25,826;38,737;23,909;20,512;38,858;20,625;11,963;12,172;7,338;9,756
21.04.23;09:00;15,1;26,428;20,417;17,951;39,261;15,168;8,689;10,244;6,948;8,754
21.04.23;10:00;13,62;17,646;16,884;16,567;37,915;13,47;9,109;8,172;7,089;6,932
21.04.23;11:00;12,644;19,715;15,8;18,03;35,528;12,076;8,348;7,81;6,555;5,928
21.04.23;12:00;11,421;17,606;10,628;18,27;35,685;7,6;8,764;6,248;7,068;5,376
21.04.23;13:00;13,03;16,057;10,705;16,718;34,696;7,188;6,618;5,448;8,335;4,857
21.04.23;14:00;11,053;18,71;11,938;18,185;37,851;6,2;9,804;4,847;12,837;4,798
21.04.23;15:00;9,653;21,395;10,336;16,729;35,409;6,404;9,909;4,907;10,277;4,841
21.04.23;16:00;10,664;16,439;10,073;16,202;32,296;5,582;7,353;4,813;14,739;4,89
21.04.23;17:00;11,313;17,201;11,176;13,829;37,859;6,239;8,357;5,255;16,832;4,585
21.04.23;18:00;11,945;14,65;10,673;16,523;37,637;7,416;8,499;7,507;14,197;4,414
21.04.23;19:00;13,129;15,387;11,467;22,767;50,412;8,034;6,391;10,391;22,597;5,604
21.04.23;20:00;13,755;15,693;15,152;18,113;55,235;12,825;13,42;8,542;18,579;6,324
21.04.23;21:00;14,499;13,121;20,502;17,446;46,226;17,347;7,103;7,334;8,409;8,544
21.04.23;22:00;14,827;11,627;19,184;30,202;47,662;19,007;6,773;9,361;14,692;8,718
21.04.23;23:00;18,1;14,286;19,331;29,066;41,252;15,191;;;6,564;9,249
22.04.23;00:00;16,004;11,742;;;;13,923;14,136;8,87;6,984;8,256
22.04.23;01:00;;8,32;10,969;25,232;31,12;10,738;15,556;10,314;6,558;6,053
22.04.23;02:00;11,731;18,426;12,241;20,87;39,44;10,651;13,282;13,049;7,554;6,206
22.04.23;03:00;10,123;;10,722;19,352;29,674;;8,23;12,821;7,88;
22.04.23;04:00;10,896;35,931;11,329;21,222;26,22;12,206;5,204;17,421;6,66;6,04
22.04.23;05:00;12,522;23,034;16,771;33,096;26,013;14,51;4,827;11,378;;7,079
22.04.23;06:00;14,953;33,453;21,49;39,313;28,616;16,459;6,543;11,005;5,513;8,98
22.04.23;07:00;16,953;40,945;23,385;38,267;29,404;16,656;6,966;11,59;6,212;8,233
22.04.23;08:00;16,411;15,005;23,74;37,797;31,317;13,96;8,498;17,205;6,974;9,946
22.04.23;09:00;22,246;20,497;27,592;36,269;35,715;11,905;10,524;17,219;7,475;10,437
22.04.23;10:00;18,947;17,562;19,635;25,759;31,437;7,434;8,453;9,874;7,195;10,313
22.04.23;11:00;17,725;17,832;17,95;26,255;31,89;6,675;8,039;6,097;6,872;9,474
22.04.23;12:00;15,144;15,555;20,121;23,979;37,749;6,182;7,967;5,177;6,444;6,101
22.04.23;13:00;12,611;13,251;23,59;23,87;31,688;5,985;6,646;4,246;4,669;4,123
22.04.23;14:00;14,878;16,252;26,09;22,736;22,677;6,558;5,628;3,83;4,654;4,688
22.04.23;15:00;15,193;16,739;18,405;29,886;26,137;4,507;4,821;3,903;3,647;4,61
22.04.23;16:00;15,061;16,302;22,268;32,493;26,428;4,733;4,718;4,174;3,49;4,406
22.04.23;17:00;15,882;17,835;24,833;34,068;29,809;5,021;5,085;5,324;4,922;6,828
22.04.23;18:00;15,712;20,893;23,168;30,658;43,934;5,595;4,714;5,774;7,186;9,46
22.04.23;19:00;22,42;14,658;27,746;30,529;31,966;7,189;6,28;4,998;11,65;11,027
22.04.23;20:00;20,007;21,393;17,02;39,327;33,26;6,956;6,683;6,052;13,607;10,219
22.04.23;21:00;17,929;25,736;21,381;24,118;35,304;6,867;6,318;8,135;16,238;12,769
22.04.23;22:00;33,584;15,258;48,887;34,055;36,783;9,974;6,314;9,104;8,062;9,355
22.04.23;23:00;48,817;14,752;44,158;22,269;30,199;11,128;6,154;9,378;11,992;6,644
23.04.23;00:00;32,388;16,939;19,987;14,715;23,616;7,568;;;4,834;6,145
23.04.23;01:00;11,391;10,143;;;;6,354;3,073;8,709;7,688;6,331
23.04.23;02:00;;9,734;10,79;11,313;19,645;8,189;2,917;7,951;7,557;6,722
23.04.23;03:00;10,975;10,895;7,159;14,179;21,554;6,339;5,403;6,698;5,171;6,242
23.04.23;04:00;10,449;;8,791;12,821;25,442;;3,904;6,321;4,778;
23.04.23;05:00;10,917;9,802;9,469;14,062;21,479;6,684;4,623;9,953;6,645;6,415
23.04.23;06:00;9,616;10,698;8,358;20,846;20,055;6,429;4,491;10,827;5,858;7,47
23.04.23;07:00;9,869;16,274;9,219;25,997;16,379;6,291;4,494;13,038;6,727;5,961
23.04.23;08:00;12,11;13,674;14,458;20,87;19,54;6,456;4,626;12,579;6,534;7,758
23.04.23;09:00;17,346;7,779;14,467;19,685;17,883;6,481;5,213;10,729;7,259;7,53
23.04.23;10:00;15,507;6,688;11,608;22,301;17,547;6,275;5,654;7,756;6,272;7,041
23.04.23;11:00;14,022;5,812;14,967;19,752;20,441;5,394;5,989;6,781;6,164;7,212
23.04.23;12:00;14,734;5,226;11,407;23,806;18,754;4,934;4,837;5,515;5,344;6,613
23.04.23;13:00;13,386;5,477;20,477;25,467;24,432;4,778;4,317;4,42;4,505;5,408
23.04.23;14:00;24,731;7,641;26,877;32,284;24,812;5,142;3,766;4,419;3,796;3,862
